Stations,Date," Day tow
number","crab.
number",Carapace width,"shell.
condition","Lab work 
Date Started","Lab work 
Date Ended","Merus
Length 
(mm) ","Merus 
height
(mm)","Merus
weight
wet (g)","Muscle 
weight
wet (g)","Shell 
weight
wet (g)","Shell 
Weight 
dry (g)","Muscle
weight 
dry (g)",Comment
GP354FR3,2025-07-09,4,,,,,,,,,,,,,
GP351F,2025-07-09,5,,,,,,,,,,,,,
GP353F,2025-07-09,6,,,,,,,,,,,,,
GP352F,2025-07-09,7,,,,,,,,,,,,,
GP350F,2025-07-10,1,,,,,,,,,,,,,
GP346F,2025-07-10,2,,,,,,,,,,,,,
GP342F,2025-07-10,3,,,,,,,,,,,,,
GP225F,2025-07-10,4,,,,,,,,,,,,,
GP323F,2025-07-10,5,,,,,,,,,,,,,
GP325F,2025-07-10,6,,,,,,,,,,,,,
GP335F,2025-07-10,7,,,,,,,,,,,,,
GP344F,2025-07-10,8,,,,,,,,,,,,,
GP341F,2025-07-10,9,,,,,,,,,,,,,
GP331F,2025-07-10,10,,,,,,,,,,,,,
GP315F,2025-07-11,1,,,,,,,,,,,,,
GP326FR1,2025-07-11,3,,,,,,,,,,,,,
GP324F,2025-07-11,4,,,,,,,,,,,,,
GP320F,2025-07-11,5,,,,,,,,,,,,,
GP312F,2025-07-11,6,,,,,,,,,,,,,
GP313F,2025-07-11,7,,,,,,,,,,,,,
GP303F,2025-07-11,10,,,,,,,,,,,,,
GP287F,2025-07-11,11,1,,3,12/12/2025,12/15/2025,95.19,19.98,13.0907,9.1597,3.6481,2.0848,1.8486,Barnicales took out
GP281F,2025-07-15,1,5,,3,12/12/2025,12/15/2025,82.29,19.86,11.6405,8.1637,3.2814,1.8686,1.6471,
GP278F,2025-07-15,2,3,,3,12/12/2025,12/15/2025,93.66,19.08,11.2837,7.9948,3.0595,1.7892,1.6900,Barnicales took out
GP278F,2025-07-15,2,2,,3,12/12/2025,12/15/2025,102.92,21.58,15.6874,10.9242,4.4646,2.6966,2.2283,Barnicales took out
GP290F,2025-07-15,3,1,,3,12/12/2025,12/15/2025,104.87,21.65,18.2711,13.2755,4.6915,2.7273,2.6982,Barnicales took out
GP295F,2025-07-15,4,,,,,,,,,,,,,
GP316F,2025-07-15,5,,,,,,,,,,,,,
GP293F,2025-07-16,1,,,,,,,,,,,,,
GP282F,2025-07-16,2,,,,,,,,,,,,,
GP273F,2025-07-16,3,5,,3,12/12/2025,12/15/2025,85.42,20.89,13.6449,10.3994,2.9745,1.7664,2.1418,Barnicales took out with water
GP260F,2025-07-16,4,2,,3,12/12/2025,12/15/2025,92.37,21.23,14.2625,9.8675,4.1126,2.4652,2.0254,Barnicales took out
GP269F,2025-07-16,5,,,,,,,,,,,,,
GP250F,2025-07-16,6,,,,,,,,,,,,,
GP237F,2025-07-16,7,,,,,,,,,,,,,
GP235F,2025-07-16,8,,,,,,,,,,,,,
GP156F,2025-07-17,1,,,,,,,,,,,,,
GP203F,2025-07-17,2,,,,,,,,,,,,,
GP134F,2025-07-17,3,,,,,,,,,,,,,
GP121F,2025-07-17,4,,,,,,,,,,,,,
GP142F,2025-07-17,5,,,,,,,,,,,,,
GP122F,2025-07-17,6,,,,,,,,,,,,,
GP109F,2025-07-17,7,,,,,,,,,,,,,
GP120F,2025-07-17,8,,,,,,,,,,,,,
GP081F,2025-07-19,1,,,,,,,,,,,,,
GP098F,2025-07-19,2,,,,,,,,,,,,,
GP085F,2025-07-19,3,,,,,,,,,,,,,
GP072F,2025-07-19,4,,,,,,,,,,,,,
GP078F,2025-07-19,5,,,,,,,,,,,,,
GP107F,2025-07-19,6,,,,,,,,,,,,,
GP096FR1,2025-07-20,1,,,,,,,,,,,,,
GP112FR1,2025-07-20,3,,,,,,,,,,,,,
GP227F,2025-07-23,1,,,,,,,,,,,,,
GP230F,2025-07-23,2,,,,,,,,,,,,,
GP249FR1,2025-07-23,7,,,,,,,,,,,,,
GP261F,2025-07-23,8,,,,,,,,,,,,,
GP243FR1,2025-07-23,10,,,,,,,,,,,,,
GP257F,2025-07-23,11,1,,3,12/12/2025,12/15/2025,102.66,23.23,19.5511,13.8598,5.1637,3.0241,2.3552,Barnicales took out - lot of water 
GP247F,2025-07-23,12,,,,,,,,,,,,,
GP258F,2025-07-23,13,19,,3,12/12/2025,12/15/2025,99.22,20.87,14.8750,10.2147,4.4504,2.6922,2.0489,Barnicales took out
GP245F,2025-07-28,1,,,,,,,,,,,,,
GP263F,2025-07-28,2,3,,3,12/12/2025,12/15/2025,121.37,24.88,28.3310,19.5277,8.2844,4.4597,4.1661,Barnicales took out
GP248F,2025-07-28,3,13,,3,12/12/2025,12/15/2025,109.08,24.86,23.4342,16.5445,6.5970,3.7299,3.5613,Barnicales took out
GP259F,2025-07-28,4,,,,,,,,,,,,,
GP268FR1,2025-07-28,6,,,,,,,,,,,,,
GP274F,2025-07-29,1,4,,4,12/12/2025,12/15/2025,104.41,24.26,21.0753,14.4033,6.2117,3.2538,2.7989,Some water in merus 
GP292F,2025-07-29,2,,,,,,,,,,,,,
GP272F,2025-07-29,3,,,,,,,,,,,,,
GP265FR1,2025-07-29,5,,,,,,,,,,,,,
GP234FR1,2025-07-29,7,,,,,,,,,,,,,
GP233F,2025-07-30,1,,,,,,,,,,,,,
GP226F,2025-07-30,2,,,,,,,,,,,,,
GP220F,2025-07-30,3,,,,,,,,,,,,,
