Stations,Date," Day tow
number","crab.
number",Carapace width,"shell.
condition","Lab work 
Date Started","Lab work 
Date Ended","Merus
Length 
(mm) ","Merus 
height
(mm)","Merus
weight
wet (g)","Muscle 
weight
wet (g)","Shell 
weight
wet (g)","Shell 
Weight 
dry (g)","Muscle
weight 
dry (g)",Comment
GP214F,2025-07-30,4,,,,,,,,,,,,,
GP192F,2025-07-30,5,,,,,,,,,,,,,
GP189F,2025-07-30,6,,,,,,,,,,,,,
GP197F,2025-07-30,7,,,,,,,,,,,,,
GP202F,2025-07-30,8,,,,,,,,,,,,,
GP206F,2025-07-30,9,40,,4,12/10/2025,12/15/2025,90.02,20.61,14.2363,10.4002,3.5078,1.9262,2.0597,Barnicales took out
GP206F,2025-07-30,9,4,,3,12/11/2025,12/15/2025,94.83,22.71,16.3106,11.6695,4.4757,2.4461,1.6437,Water in merus
GP184F,2025-07-30,10,,,,,,,,,,,,,
GP159F,2025-07-30,11,10,,4,12/12/2025,12/15/2025,95.33,22.19,17.4808,12.1742,5.0551,2.6204,2.2136,
GP159F,2025-07-30,11,2,,3,12/12/2025,12/15/2025,96.32,23.92,18.7447,13.1798,4.9592,2.6163,2.5508,Some water in merus
GP170F,2025-07-30,12,,,,,,,,,,,,,
GP174FR1,2025-07-31,2,,,,,,,,,,,,,
GP162F,2025-07-31,3,,,,,,,,,,,,,
GP154F,2025-07-31,4,,,,,,,,,,,,,
GP133F,2025-07-31,5,,,,,,,,,,,,,
GP141F,2025-07-31,6,,,,,,,,,,,,,
GP128FR1,2025-07-31,8,,,,,,,,,,,,,
GP147F,2025-07-31,9,,,,,,,,,,,,,
GP149F,2025-07-31,10,,,,,,,,,,,,,
GP158F,2025-07-31,11,3,,4,12/12/2025,12/15/2025,104.55,21.21,17.9568,11.5771,6.0454,3.0209,2.3498,
GP158F,2025-07-31,11,2,,3,12/12/2025,12/15/2025,91.66,21.28,16.9210,12.0676,4.6023,2.5814,2.1767,Some water in merus
GP176F,2025-07-31,12,16,,4,12/11/2025,12/15/2025,83.82,20.19,12.7528,9.1045,3.4395,1.8747,1.9026,
GP198F,2025-07-31,13,,,,,,,,,,,,,
GP179F,2025-08-01,1,4,,3,12/10/2025,12/15/2025,111.44,25.32,24.6243,17.3323,7.0549,3.9937,3.0166,Barnicales took out
GP179F,2025-08-01,1,32,,4,12/11/2025,12/15/2025,81.97,20.51,12.1983,8.7480,3.1347,1.6059,1.8854,
GP191FR1,2025-08-01,3,41,,4,12/10/2025,12/15/2025,89.68,19.46,11.6314,7.8734,3.5219,1.9326,1.3778,
GP177FR1,2025-08-01,5,22,,4,12/10/2025,12/15/2025,102.04,22.19,17.9013,11.7925,5.7721,2.8181,2.5982,
GP177FR1,2025-08-01,5,23,,3,12/11/2025,12/15/2025,101.02,22.13,17.8476,12.9511,4.6759,2.6585,2.8008,
GP163F,2025-08-01,6,25,,3,12/8/2025,12/11/2025,97.38,20.06,14.9554,10.2962,4.4059,2.6804,2.2419,
GP163F,2025-08-01,6,26,,4,12/8/2025,12/11/2025,89.96,21.34,14.5167,9.8577,4.3836,2.3977,2.1441,
GP164F,2025-08-01,7,69,,3,12/8/2025,12/11/2025,89.05,18.65,12.5108,8.3759,3.8451,1.9461,1.7649,
GP125F,2025-08-01,14,7,,4,12/8/2025,12/11/2025,81.65,18.89,9.8298,6.9838,2.6263,1.4370,1.6407,Barnicales took out
GP124F,2025-08-02,1,214,,3,12/8/2025,12/11/2025,80.67,20.45,11.1029,8.0936,2.7332,1.5882,1.8075,
GP105F,2025-08-02,2,18,,4,12/8/2025,12/11/2025,92.24,21.28,14.7136,10.2350,4.2449,2.4008,2.1081,
GP106F,2025-08-02,3,30,,3,11/27/2025,12/1/2025,86.79,19.20,11.8380,8.3937,3.2803,1.9198,1.7953,Cigaret burns
GP127F,2025-08-02,4,30,,3,11/27/2025,12/1/2025,78.50,19.02,9.9689,7.5934,2.1898,1.3238,1.5369,Barnicales took out
GP127F,2025-08-02,4,31,,2,11/27/2025,12/1/2025,103.49,22.24,17.8678,13.8506,3.8383,2.1553,2.0748,
GP113F,2025-08-02,5,15,,2,11/20/2025,11/24/2025,102.31,24.08,19.3628,14.6573,4.3089,2.3869,1.9097,Cigaret burns broken merus in one end
GP113F,2025-08-02,5,16,,3,12/8/2025,12/11/2025,86.62,20.49,13.4640,8.9581,4.2019,2.1864,1.9848,
GP123F,2025-08-02,6,22,,3,12/8/2025,12/11/2025,74.07,17.34,8.6104,6.2495,2.0465,1.2039,1.3093,Barnicales took out & cond 3
GP099F,2025-08-02,7,,,,,,,,,,,,,
GP084F,2025-08-02,10,,,,,,,,,,,,,
GP077FR1,2025-08-02,12,,,,,,,,,,,,,
GP068FR1,2025-08-03,1,124,,2,12/8/2025,12/11/2025,102.12,23.41,18.7617,14.3818,4.0855,2.2333,2.0684,
GP088F,2025-08-03,2,60,,3,11/27/2025,12/1/2025,86.02,19.73,11.1626,7.8231,3.0475,1.8165,1.6633,
GP080F,2025-08-03,3,40,,3,12/8/2025,12/11/2025,104.37,21.63,17.0448,12.0556,4.6807,2.7001,2.5169,
GP090F,2025-08-03,7,2,,4,11/27/2025,12/1/2025,85.29,21.14,14.3627,9.9274,3.9857,2.0067,1.7834,
GP090F,2025-08-03,7,1,,2,11/27/2025,12/1/2025,98.77,19.82,11.7766,8.7086,2.7849,1.5264,1.0791,
GP090F,2025-08-03,7,35,,3,12/8/2025,12/11/2025,94.73,21.20,14.4966,10.3157,3.9152,2.3149,2.1296,
GP076F,2025-08-03,8,46,,4,12/8/2025,12/11/2025,78.22,17.78,9.7837,6.3046,3.1095,1.5273,1.3444,
GP061F,2025-08-03,9,,,,,,,,,,,,,
GP049F,2025-08-03,10,,,,,,,,,,,,,
GP026F,2025-08-04,1,,,,,,,,,,,,,
GP024FR1,2025-08-04,3,,,,,,,,,,,,,
GP036F,2025-08-04,4,,,,,,,,,,,,,
GP025F,2025-08-04,5,177,,2,12/2/2025,12/5/2025,84.90,18.54,10.0756,7.4719,2.4421,1.3892,1.3446,
GP025F,2025-08-04,5,176,,3,12/2/2025,12/10/2025,90.02,20.41,12.8932,8.9585,3.7033,2.1773,1.9689,
GP023F,2025-08-04,6,,,,,,,,,,,,,
GP016F,2025-08-04,7,,,,,,,,,,,,,
GP019F,2025-08-04,8,83,,4,12/2/2025,12/5/2025,100.33,20.26,14.8137,10.0272,4.4692,2.1842,1.9577,
GP018F,2025-08-04,9,,,,,,,,,,,,,
GP028F,2025-08-04,10,61,,3,12/2/2025,12/10/2025,104.63,22.46,20.5556,14.9743,5.2287,2.8625,2.9303,
GP032F,2025-08-04,11,3,,3,12/2/2025,12/10/2025,93.10,21.17,15.4036,11.1794,3.9015,2.0758,2.2361,Barnicales took out
GP032F,2025-08-04,11,12,,4,12/2/2025,12/10/2025,102.23,23.73,20.0694,13.4497,6.2196,3.2169,2.8901,
GP022F,2025-08-04,12,1,,3,12/2/2025,12/5/2025,109.14,22.89,18.9355,12.9138,5.7150,2.7374,2.2094,
GP022F,2025-08-04,12,2,,4,12/2/2025,12/10/2025,93.96,19.19,13.9006,8.8472,4.7044,2.2358,1.8189,
GP030F,2025-08-04,13,56,,3,11/24/2025,11/27/2025,111.93,22.13,22.8461,15.8125,6.5642,3.5888,2.8584,Barnicales took out
GP040F,2025-08-04,14,1,,3,12/2/2025,12/10/2025,100.97,22.58,17.9947,13.2067,4.3901,2.3404,2.6473,
GP042F,2025-08-05,1,40,,4,11/21/2025,11/24/2025,95.86,20.59,14.7960,9.5976,4.9223,2.1659,2.0558,
GP042F,2025-08-05,1,41,,3,12/2/2025,12/10/2025,93.47,19.07,11.6952,7.8720,3.5568,1.9551,1.6655,
GP041F,2025-08-05,2,4,,4,11/28/2025,12/1/2025,89.49,19.91,14.4311,10.0927,4.0996,1.9385,1.7444,It's not condition 1 but 4 
GP031F,2025-08-05,3,,,,,,,,,,,,,
GP039F,2025-08-05,4,1,,3,11/28/2025,12/1/2025,93.94,19.93,13.4680,8.9371,4.2348,2.3687,1.8094,
GP045F,2025-08-05,5,66,,4,11/21/2025,11/24/2025,106.57,20.33,16.4439,10.5182,5.6100,2.7228,2.2246,
GP029FR2,2025-08-05,10,24,,4,12/1/2025,12/3/2025,89.22,19.67,8.7284,4.7784,3.6973,1.8637,0.4649,
GP037F,2025-08-05,11,,,,,,,,,,,,,
GP008F,2025-08-06,1,31,,2,12/2/2025,12/5/2025,100.73,22.07,17.3368,13.5383,3.5018,2.1127,2.0367,
GP008F,2025-08-06,1,16,,3,12/2/2025,12/5/2025,136.05,29.23,39.1465,27.3549,11.3098,5.6012,4.5486,
GP008F,2025-08-06,1,17,,4,12/2/2025,12/5/2025,93.53,19.52,12.3477,7.0709,4.5532,2.0699,1.1278,
GP009F,2025-08-06,2,,,,,,,,,,,,,
GP011F,2025-08-06,3,27,,2,12/2/2025,12/5/2025,89.57,19.39,10.0466,7.5138,2.5708,1.4763,1.4909,
GP006FR1,2025-08-11,2,,,,,,,,,,,,,
GP004F,2025-08-11,3,,,,,,,,,,,,,
GP002FR1,2025-08-12,2,,,,,,,,,,,,,
GP001F,2025-08-13,1,,,,,,,,,,,,,
GP003F,2025-08-13,2,,,,,,,,,,,,,
GP005F,2025-08-13,3,,,,,,,,,,,,,
GP007F,2025-08-13,4,4,,4,12/2/2025,12/5/2025,93.05,20.59,13.2776,8.9109,3.9425,2.0286,1.6845,
GP007F,2025-08-13,4,5,,2,12/2/2025,12/5/2025,116.28,23.61,19.3154,14.7194,4.2130,2.4369,2.1480,
GP010F,2025-08-13,5,20,,4,12/2/2025,12/5/2025,92.18,19.39,12.6418,8.2230,4.1573,1.9591,1.6443,
GP012F,2025-08-13,6,5,,2,12/2/2025,12/5/2025,106.79,22.74,17.5738,13.7552,3.4159,1.9902,1.8449,
GP012F,2025-08-13,6,6,,3,12/2/2025,12/5/2025,89.74,19.46,11.7380,8.2149,3.2945,1.7742,1.7470,
GP012F,2025-08-13,6,4,,4,12/2/2025,12/5/2025,104.49,21.12,16.6904,11.3500,4.9874,2.3514,2.3857,
GP013F,2025-08-13,7,,,,,,,,,,,,,
GP015F,2025-08-13,8,10,,4,12/2/2025,12/5/2025,102.74,19.81,14.5933,9.9503,4.1246,2.1461,2.1258,
GP017FR1,2025-08-13,10,9,,3,12/2/2025,12/10/2025,125.84,27.05,29.1593,19.5469,8.7575,4.6997,3.9050,
GP017FR1,2025-08-13,10,11,,4,12/2/2025,12/10/2025,93.44,20.08,13.8379,9.3075,4.2676,2.0618,1.9307,
GP021F,2025-08-13,11,70,,2,12/2/2025,12/5/2025,100.76,20.63,14.3959,10.7454,3.1361,1.8411,1.4252,
GP021F,2025-08-13,11,71,,2,12/2/2025,12/5/2025,91.80,21.96,14.1107,9.8354,3.9942,2.1059,1.9456,
GP020F,2025-08-14,1,26,,4,12/2/2025,12/5/2025,99.28,21.47,18.5738,12.3490,5.7022,2.9230,2.3814,
GP014F,2025-08-14,2,20,,2,12/2/2025,12/5/2025,84.65,21.13,12.9844,9.8708,2.9028,1.7082,1.3800,
GP014F,2025-08-14,2,21,,3,12/2/2025,12/5/2025,86.62,21.80,12.2833,9.1187,2.9307,1.7123,1.8812,Barnicales took out
GP034F,2025-08-23,1,,,,,,,,,,,,,
GP027F,2025-08-23,2,8,,2,12/1/2025,12/3/2025,93.35,19.33,11.5257,8.3995,2.8324,1.7122,1.4421,Cigaret burns
GP027F,2025-08-23,2,14,,3,12/1/2025,12/3/2025,99.85,20.75,14.7800,10.4715,4.0006,2.3989,2.2020,
GP033F,2025-08-23,3,7,,2,12/1/2025,12/3/2025,103.85,20.20,14.7239,11.0919,3.2965,1.9871,1.8472,
GP033F,2025-08-23,3,24,,3,12/1/2025,12/3/2025,93.18,19.64,13.5005,9.5456,3.3303,1.8519,1.9914,
GP033F,2025-08-23,3,6,,4,12/1/2025,12/3/2025,98.59,21.59,17.6366,12.5317,4.6222,2.3203,2.6475,
GP057F,2025-08-23,4,9,,3,11/28/2025,12/1/2025,91.33,19.86,12.0043,8.4775,3.2525,1.9356,1.6169,Barnicales took out
GP038F,2025-08-23,5,17,,2,12/2/2025,12/10/2025,91.56,18.25,10.0209,7.3816,2.4327,1.3889,0.8438,Cigaret burns
GP035F,2025-08-23,6,3,,3,12/2/2025,12/10/2025,85.95,20.13,12.3413,8.5065,3.4828,2.0292,1.6720,
GP054F,2025-08-23,7,,,,,,,,,,,,,
GP064F,2025-08-23,8,,,,,,,,,,,,,
GP056F,2025-08-23,9,,,,,,,,,,,,,
GP074F,2025-08-23,10,,,,,,,,,,,,,
GP083F,2025-08-23,11,,,,,,,,,,,,,
GP065F,2025-08-24,1,18,,2,12/2/2025,12/10/2025,106.77,23.36,16.5132,12.3352,3.9157,2.3529,1.4719,
GP059F,2025-08-25,1,37,,3,11/28/2025,12/1/2025,110.13,23.25,19.3485,13.8862,5.1671,3.0247,2.0944,
GP058F,2025-08-25,2,14,,4,11/28/2025,12/1/2025,97.64,21.84,16.9822,11.6507,5.0357,2.6753,2.3105,
GP058F,2025-08-25,2,9,,3,12/8/2025,12/11/2025,96.68,19.04,12.0859,8.4957,3.3405,1.9179,1.7993,
GP073F,2025-08-25,3,12,,4,11/27/2025,12/1/2025,90.51,19.81,13.7183,9.4441,3.9332,2.1287,1.8191,
GP073F,2025-08-25,3,11,,3,12/8/2025,12/11/2025,111.83,23.78,21.7931,15.3060,6.1111,3.3088,2.9685,
GP086F,2025-08-25,4,24,,3,11/27/2025,12/1/2025,96.44,21.56,15.9458,11.7960,3.9101,2.2724,2.1515,
GP115F,2025-08-25,5,,,,,,,,,,,,,
GP103F,2025-08-25,6,,,,,,,,,,,,,
GP089F,2025-08-25,7,,,,,,,,,,,,,
GP118F,2025-08-25,8,,,,,,,,,,,,,
GP071F,2025-08-25,9,36,,3,11/27/2025,12/1/2025,111.77,23.34,20.7903,14.6032,5.8734,3.3342,2.7210,
GP071F,2025-08-25,9,35,,2,11/27/2025,12/1/2025,93.10,20.53,13.6539,10.3047,2.9533,1.7193,1.1534,
GP053F,2025-08-25,10,6,,3,12/8/2025,12/11/2025,93.54,19.47,12.3125,8.1308,3.8253,2.0986,1.8301,
GP062F,2025-08-26,1,18,,3,11/28/2025,12/1/2025,99.79,19.85,13.4253,9.2222,3.8354,2.1078,1.9494,
GP062F,2025-08-26,1,24,,4,11/28/2025,12/1/2025,119.68,23.56,22.4836,15.3817,6.7585,3.4858,3.2089,
GP069F,2025-08-26,2,13,,3,11/25/2025,11/27/2025,91.45,19.64,13.2258,9.4726,3.3672,1.7802,2.1039,
GP051F,2025-08-26,3,26,,3,11/28/2025,12/1/2025,87.86,18.13,10.5225,7.2332,2.9268,1.4846,1.5284,
GP051F,2025-08-26,3,27,,2,12/8/2025,12/11/2025,93.13,25.96,21.7565,17.2029,4.2103,2.3398,2.2982,
GP052F,2025-08-26,4,32,,3,11/28/2025,12/1/2025,93.44,19.78,12.8633,8.8941,3.7074,2.1378,1.8514,
GP052F,2025-08-26,4,31,,4,12/10/2025,12/15/2025,95.27,19.35,12.3821,7.7462,4.2247,2.2042,1.6185,
GP047F,2025-08-26,5,,,,,,,,,,,,,
GP070F,2025-08-26,6,64,,2,11/21/2025,11/27/2025,97.85,19.59,13.2897,9.9826,3.0585,1.7044,1.2379,Cigaret burns
GP093F,2025-08-26,7,19,,3,11/28/2025,12/1/2025,115.68,26.15,24.2754,17.5796,6.3581,3.6272,3.2687,Barnicales took out
GP063F,2025-08-26,8,42,,4,11/28/2025,12/1/2025,102.39,20.77,16.8218,11.2028,5.4079,2.6441,2.1946,
GP063F,2025-08-26,8,64,,2,11/28/2025,12/1/2025,89.35,19.49,10.8487,8.0925,2.4831,1.4244,1.2051,
GP063F,2025-08-26,8,43,,3,11/28/2025,12/1/2025,97.37,19.43,14.1001,9.4984,4.2814,2.3912,2.0422,
GP063F,2025-08-26,8,1,,1,12/2/2025,12/10/2025,123.12,25.11,28.5058,19.0121,9.1210,4.6418,3.6764,
GP092FR1,2025-08-26,9,101,,3,11/28/2025,12/1/2025,93.00,19.21,13.0962,8.5692,4.2203,2.3096,1.6680,
GP095F,2025-08-26,10,143,,3,11/26/2025,12/1/2025,90.23,19.07,12.5064,8.3573,3.8296,1.9691,1.7610,
GP095F,2025-08-26,10,144,,4,11/26/2025,12/1/2025,93.74,19.89,12.5301,8.6051,3.6416,2.0594,1.7402,
GP111F,2025-08-26,11,,,,,,,,,,,,,
GP110F,2025-08-26,12,,,,,,,,,,,,,
GP100F,2025-08-27,1,,,,,,,,,,,,,
GP087F,2025-08-27,2,,,,,,,,,,,,,
GP060F,2025-08-27,3,18,,3,12/8/2025,12/11/2025,79.45,18.03,10.0020,7.1643,2.5244,1.3520,1.5886,
GP060F,2025-08-27,3,17,,4,12/8/2025,12/11/2025,97.61,21.15,15.8558,10.9124,4.3893,2.2831,2.1570,Cigaret burns
GP082F,2025-08-27,4,,,,,,,,,,,,,
GP075F,2025-08-27,5,8,,2,12/8/2025,12/11/2025,91.96,20.73,14.3410,10.7241,3.4133,1.8301,1.4897,
GP075F,2025-08-27,5,10,,3,12/8/2025,12/11/2025,97.33,20.31,14.0866,9.4310,4.3797,2.3634,1.8567,
GP075F,2025-08-27,5,11,,4,12/8/2025,12/11/2025,104.11,19.72,15.3968,10.5907,4.4414,2.2646,1.5811,
GP101F,2025-08-27,6,65,,3,12/8/2025,12/11/2025,84.44,20.21,13.1992,9.2715,3.7072,2.0795,1.9077,
GP101F,2025-08-27,6,66,,2,12/8/2025,12/11/2025,109.54,21.63,18.0839,13.3671,3.9651,2.2683,1.8817,
GP101F,2025-08-27,6,67,,4,12/8/2025,12/11/2025,99.01,20.42,14.7347,10.1289,4.3108,2.2472,1.8559,Cigaret burns
GP143F,2025-08-27,8,,,,,,,,,,,,,
GP126FR1,2025-08-27,9,44,,3,12/10/2025,12/15/2025,102.06,21.77,16.3190,11.7267,4.3353,2.5244,2.1087,
GP139F,2025-08-27,10,,,,,,,,,,,,,
GP114F,2025-08-27,11,76,,3,12/8/2025,12/11/2025,78.16,18.17,10.3418,7.4341,2.7063,1.4675,1.6061,
GP114F,2025-08-27,11,106,,4,12/8/2025,12/11/2025,93.45,22.40,17.0920,12.1075,4.6238,2.3664,2.2874,
GP114F,2025-08-27,11,90,,2,12/8/2025,12/11/2025,91.62,17.51,10.0366,7.4214,2.3155,1.3103,0.9370,
GP130F,2025-08-28,1,,,,,,,,,,,,,
GP152F,2025-08-28,2,,,,,,,,,,,,,
GP153F,2025-08-28,3,,,,,,,,,,,,,
GP169F,2025-08-28,4,25,,3,12/10/2025,12/15/2025,88.00,20.11,12.3521,8.7388,3.3745,1.9388,1.7283,Barnicales took out
GP180F,2025-08-28,5,35,,2,12/10/2025,12/15/2025,108.09,22.97,17.9042,13.5011,4.2068,2.4009,1.8667,
GP138F,2025-08-28,8,10,,3,12/10/2025,12/15/2025,111.76,24.47,23.3626,15.7912,7.1612,3.5686,2.6348,
GP166F,2025-08-28,9,,,,,,,,,,,,,
GP187F,2025-08-28,10,,,,,,,,,,,,,
GP334F,2025-08-28,11,4,,2,12/11/2025,12/15/2025,103.61,21.93,17.6198,13.0981,4.0664,2.3362,1.7337,
GP181F,2025-08-29,1,4,,3,12/10/2025,12/15/2025,111.02,23.43,22.4365,15.7415,6.3095,3.7195,2.6917,Barnicales took out
GP181F,2025-08-29,1,3,,4,12/10/2025,12/15/2025,93.84,19.39,12.5456,8.1400,4.1242,1.9523,1.6866,
GP208F,2025-08-29,2,7,,2,12/11/2025,12/15/2025,94.17,20.59,13.8043,10.6335,2.9795,1.6553,1.1875,
GP207FR2,2025-08-29,5,,,,,,,,,,,,,
GP201F,2025-08-29,6,4,,3,12/10/2025,12/15/2025,78.97,19.01,9.7324,6.7839,2.6711,1.4849,1.0360,
GP217F,2025-08-29,7,10,,4,12/11/2025,12/15/2025,89.23,18.85,11.6002,7.6698,3.6929,1.7623,1.6009,
GP217F,2025-08-29,7,4,,3,12/11/2025,12/15/2025,99.62,21.86,17.9144,12.8385,4.9158,2.8057,2.6946,
GP200F,2025-08-29,8,156,,4,12/10/2025,12/15/2025,85.75,18.46,12.1749,8.4884,3.4934,1.8603,1.7281,
GP200F,2025-08-29,8,155,,3,12/11/2025,12/15/2025,101.35,22.58,18.7819,12.9732,5.4760,3.3011,2.6615,Barnicales took out
GP185F,2025-08-29,9,26,,3,12/10/2025,12/15/2025,90.97,20.44,13.7783,9.3958,4.1334,2.4727,1.8285,
GP185F,2025-08-29,9,27,,4,12/10/2025,12/15/2025,104.31,22.58,18.1746,12.5793,5.1676,2.6970,2.5210,shell cond missing look a 4 
GP183F,2025-08-29,10,6,,4,12/10/2025,12/15/2025,82.84,19.25,10.9526,7.4702,3.2575,1.8173,1.5890,Cigaret burn
GP183F,2025-08-29,10,5,,3,12/10/2025,12/15/2025,93.83,18.10,10.8794,7.5349,3.0827,1.6961,1.5211,
GP172F,2025-08-29,11,41,,4,11/20/2025,11/27/2025,85.45,18.99,11.2476,7.9219,2.9940,1.6328,1.7140,
GP172F,2025-08-29,11,39,,3,11/25/2025,11/27/2025,91.84,19.41,12.1999,8.7162,3.1978,1.7998,1.5766,Barnicales took out
GP157FR1,2025-08-29,13,24,,3,12/10/2025,12/15/2025,87.38,18.82,10.8605,7.6105,3.0123,1.7963,1.6301,
GP157FR1,2025-08-29,13,25,,4,12/10/2025,12/15/2025,94.78,18.93,11.9528,8.4641,3.2391,1.7449,1.7716,
GP144F,2025-08-30,1,28,,4,11/25/2025,11/27/2025,104.03,19.90,14.0832,9.7670,3.9890,2.2333,1.3699,
GP129F,2025-08-30,2,40,,4,12/10/2025,12/15/2025,83.36,18.86,11.2922,7.3344,3.5991,1.8377,1.3856,
GP136F,2025-08-30,3,7,,2,12/10/2025,12/15/2025,96.62,20.52,9.2192,5.7358,3.2555,1.7711,1.0999,Not much water in merus 
GP136F,2025-08-30,3,32,,3,12/10/2025,12/15/2025,103.68,20.17,15.2498,10.6126,4.3134,2.5427,2.1892,
GP135F,2025-08-30,4,31,,3,11/25/2025,11/27/2025,117.08,23.38,23.9809,16.5424,6.7531,3.6902,3.4174,
GP135F,2025-08-30,4,30,,4,11/25/2025,11/27/2025,87.81,18.13,11.3607,7.2841,3.5576,1.9467,1.6100,
